permutation,diagonal_dominance,matching_margin
443,0.21568627450980393,-903.8007304808673
444,0.24509803921568626,-788.8595432113199
445,0.21568627450980393,-943.6327286888571
446,0.19607843137254902,-942.1106564951878
447,0.2107843137254902,-822.9727786288541
448,0.2647058823529412,-780.8902367984547
449,0.24509803921568626,-894.2342798569623
450,0.23529411764705882,-1019.021753984339
451,0.23039215686274508,-999.7484395270254
452,0.22058823529411764,-1020.3958271438
453,0.25,-909.7577332515342
454,0.23529411764705882,-834.6006752649943
455,0.20588235294117646,-1064.8582605380639
456,0.24019607843137256,-841.7495422363281
457,0.19117647058823528,-949.7859008639466
458,0.1568627450980392,-1123.229161159665
459,0.2549019607843137,-1030.1883729298909
460,0.23529411764705882,-972.8932355431949
461,0.19117647058823528,-1046.5189790445215
462,0.23039215686274508,-834.1768357894
463,0.20588235294117646,-1031.3368677999458
464,0.23529411764705882,-952.683858684465
465,0.22549019607843138,-940.7086306740256
466,0.20098039215686275,-959.5963565789017
467,0.21568627450980393,-1026.8536669226253
468,0.2647058823529412,-879.1776261236154
469,0.19117647058823528,-948.1901689791212
470,0.19117647058823528,-871.6779239878935
471,0.20098039215686275,-1084.9023999419867
472,0.23529411764705882,-763.0159916223264
473,0.24509803921568626,-876.6273630553601
474,0.2107843137254902,-1032.8573028433557
475,0.18137254901960784,-1013.3692554399079
476,0.25,-894.1776640835931
477,0.23039215686274508,-935.1717927222159
478,0.23039215686274508,-948.0215253736459
479,0.25,-961.3105931936526
480,0.17647058823529413,-1066.72280032027
481,0.25980392156862747,-746.704997474072
482,0.22058823529411764,-973.2270936778947
483,0.19607843137254902,-846.7579455282174
484,0.23039215686274508,-952.6890335830988
485,0.2107843137254902,-1018.9728902274487
486,0.23529411764705882,-886.0178446302227
487,0.24509803921568626,-986.3055096233593
488,0.23529411764705882,-792.4272183623968
489,0.16176470588235295,-1094.60381156323
490,0.23039215686274508,-721.8763096379299
491,0.21568627450980393,-1071.6957473006903
492,0.22549019607843138,-911.9885199864706
493,0.2549019607843137,-846.6104563170788
494,0.19117647058823528,-1068.7357270857867
495,0.23529411764705882,-843.119440948262
496,0.2107843137254902,-944.8065933152741
497,0.20098039215686275,-974.9933304506189
